RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,label
852.1978,802.23444,804.2491,847.3626,Positive
837.28937,796.5934,822.381,843.3333,Positive
834.0659,823.1868,826.0073,846.9597,Positive
808.68134,811.0989,810.293,825.6044,Positive
806.26373,806.6667,809.0842,799.41394,Positive
817.1429,803.0403,804.65204,807.47253,Positive
803.8461,799.41394,809.0842,812.3077,Positive
798.60803,824.3956,813.5165,820.3663,Positive
845.34796,815.5311,810.293,868.315,Positive
819.15753,802.23444,799.81683,815.9341,Positive
826.4103,809.0842,805.05493,782.8938,Positive
819.5604,803.44324,806.26373,799.011,Positive
784.10254,808.68134,804.65204,772.8205,Positive
806.26373,796.5934,800.2198,847.3626,Positive
788.93774,800.2198,797.8022,823.9927,Positive
837.6923,821.5751,812.71063,845.34796,Positive
852.6007,809.4872,806.6667,880.40295,Positive
814.3223,806.26373,794.9817,823.1868,Positive
793.7729,799.41394,808.2784,767.1795,Positive
795.38464,805.05493,801.02563,755.09155,Positive
818.7546,800.2198,813.5165,835.2747,Positive
812.3077,811.0989,812.71063,828.022,Positive
786.9231,800.6227,796.99634,725.6777,Positive
806.6667,829.6337,807.47253,806.26373,Positive
827.2161,811.0989,809.89014,868.71796,Positive
827.619,809.89014,802.6374,854.21246,Positive
794.17584,799.011,804.2491,806.26373,Positive
851.79486,815.5311,825.2015,862.674,Positive
791.75824,792.96704,793.36993,794.9817,Positive
796.5934,795.38464,804.65204,799.81683,Positive
827.619,801.02563,800.6227,833.663,Positive
743.8095,798.60803,812.71063,750.65936,Positive
832.4542,818.7546,807.0696,841.7216,Positive
790.9524,804.65204,797.8022,796.1905,Positive
809.89014,801.8315,800.6227,835.6777,Positive
603.9927,790.54944,844.1392,612.0513,Positive
835.6777,803.44324,799.81683,848.1685,Positive
822.381,815.12823,803.0403,807.8755,Positive
796.5934,807.8755,809.0842,791.75824,Positive
808.68134,801.4286,813.1135,811.50183,Positive
823.1868,790.14655,784.5055,834.0659,Positive
827.2161,846.9597,792.1612,809.0842,Positive
809.0842,801.4286,803.8461,803.44324,Positive
821.1722,795.78754,803.0403,839.304,Positive
806.6667,801.8315,801.8315,800.6227,Positive
830.0366,809.89014,815.12823,836.4835,Positive
805.05493,801.4286,811.0989,818.3516,Positive
855.42126,826.8132,827.2161,850.18317,Positive
807.47253,798.60803,811.0989,813.5165,Positive
806.26373,803.8461,792.1612,814.7253,Positive
807.47253,792.96704,786.52014,809.0842,Positive
800.2198,795.38464,797.3993,809.4872,Positive
809.89014,806.26373,798.60803,808.2784,Positive
833.663,797.8022,807.47253,835.6777,Positive
783.2967,802.23444,812.3077,807.0696,Positive
791.75824,799.41394,816.337,816.7399,Positive
811.50183,806.6667,803.8461,814.7253,Positive
834.4689,809.4872,819.5604,828.8278,Positive
773.6264,801.8315,801.8315,787.326,Positive
811.9048,812.71063,802.23444,811.0989,Positive
807.47253,806.6667,801.02563,821.5751,Positive
794.9817,798.20514,796.1905,803.44324,Positive
793.7729,805.4579,789.7436,803.0403,Positive
831.6484,811.50183,802.23444,834.87177,Positive
814.3223,821.978,819.5604,813.91943,Positive
794.9817,813.1135,807.47253,799.41394,Positive
835.2747,800.2198,811.9048,844.94507,Positive
850.18317,813.5165,819.9634,861.06226,Positive
849.7802,805.4579,799.81683,838.0952,Positive
843.3333,816.337,816.337,862.674,Positive
828.4249,799.41394,819.9634,827.619,Positive
839.707,815.5311,796.99634,825.2015,Positive
809.4872,806.6667,804.65204,802.6374,Positive
811.9048,811.0989,810.696,821.978,Positive
773.22345,777.25275,811.0989,789.34064,Positive
827.619,795.78754,798.60803,820.3663,Positive
821.978,799.011,810.696,809.0842,Positive
828.4249,811.50183,789.34064,830.0366,Positive
799.81683,801.4286,811.50183,798.20514,Positive
804.65204,812.71063,803.8461,831.6484,Positive
811.9048,807.0696,800.2198,820.7692,Positive
762.74725,813.5165,791.3553,757.50916,Positive
811.50183,818.3516,805.05493,813.1135,Positive
832.0513,807.47253,788.93774,844.94507,Positive
838.9011,793.36993,810.293,836.8865,Positive
797.3993,811.50183,815.5311,815.12823,Positive
831.2454,808.2784,808.68134,848.97437,Positive
798.60803,798.60803,791.3553,799.81683,Positive
844.1392,805.05493,801.02563,831.6484,Positive
804.65204,796.5934,793.36993,794.17584,Positive
837.6923,790.9524,778.86444,833.2601,Positive
848.5714,811.50183,815.12823,847.76556,Positive
826.8132,805.05493,809.0842,826.8132,Positive
848.1685,815.12823,809.0842,844.5421,Positive
802.6374,810.696,794.9817,808.68134,Positive
804.65204,813.91943,830.0366,817.9487,Positive
836.4835,800.2198,803.0403,847.3626,Positive
806.26373,807.0696,808.68134,812.71063,Positive
809.0842,809.4872,814.7253,813.1135,Positive
786.9231,796.1905,798.60803,786.52014,Positive
803.8461,806.26373,805.4579,801.8315,Positive
790.14655,795.78754,799.41394,797.8022,Positive
844.5421,783.69965,806.6667,836.08057,Positive
836.8865,807.0696,793.7729,832.8571,Positive
788.93774,799.41394,801.8315,780.87915,Positive
802.23444,811.0989,811.0989,800.6227,Positive
809.4872,813.91943,784.90845,805.4579,Positive
806.26373,796.1905,806.6667,822.7839,Positive
780.87915,808.68134,805.4579,798.60803,Positive
828.022,818.7546,808.68134,859.0476,Positive
798.20514,803.8461,792.1612,806.26373,Positive
862.27106,797.3993,790.9524,859.85345,Positive
802.23444,796.5934,802.23444,826.4103,Positive
799.41394,807.8755,801.4286,797.8022,Positive
830.0366,790.54944,802.6374,835.6777,Positive
824.3956,816.7399,807.47253,832.4542,Positive
837.6923,813.5165,816.337,838.49817,Positive
805.4579,799.81683,796.5934,811.9048,Positive
795.38464,804.65204,816.7399,795.38464,Positive
801.4286,804.65204,805.4579,792.96704,Positive
840.5128,807.0696,811.50183,842.1245,Positive
810.293,813.1135,807.8755,812.3077,Positive
837.28937,805.8608,799.41394,843.3333,Positive
781.685,797.8022,805.8608,791.3553,Positive
880.40295,802.6374,796.1905,867.1062,Positive
846.9597,810.696,798.20514,845.34796,Positive
825.2015,806.6667,785.7143,832.8571,Positive
827.619,780.4762,806.6667,816.7399,Positive
786.1172,790.54944,792.1612,787.72894,Positive
804.2491,801.4286,801.8315,801.8315,Positive
811.50183,794.17584,806.6667,815.5311,Positive
819.5604,793.36993,786.52014,813.91943,Positive
813.91943,783.69965,795.78754,823.5897,Positive
794.57874,792.1612,794.9817,795.38464,Positive
846.1539,803.0403,801.8315,825.6044,Positive
887.25275,801.02563,800.6227,891.28204,Positive
797.3993,800.2198,804.2491,792.5641,Positive
825.2015,790.9524,807.47253,835.2747,Positive
809.0842,795.78754,798.60803,817.5458,Positive
818.3516,802.6374,796.99634,810.696,Positive
791.75824,799.81683,799.011,801.02563,Positive
807.0696,804.65204,799.41394,806.6667,Positive
832.4542,794.57874,798.60803,833.663,Positive
784.5055,803.0403,802.6374,794.57874,Positive
834.4689,788.5348,794.17584,863.0769,Positive
799.81683,793.36993,796.99634,809.4872,Positive
894.10254,793.36993,783.2967,891.685,Positive
827.619,820.3663,802.23444,827.619,Positive
846.9597,798.60803,806.6667,844.1392,Positive
821.5751,792.96704,803.8461,819.9634,Positive
790.54944,817.1429,803.0403,799.81683,Positive
774.83514,790.54944,795.38464,757.1062,Positive
842.1245,809.89014,801.02563,833.663,Positive
815.9341,809.4872,799.81683,810.293,Positive
787.72894,812.3077,808.68134,805.05493,Positive
835.2747,783.2967,809.89014,855.82416,Positive
817.1429,798.60803,803.44324,818.3516,Positive
811.50183,802.23444,804.65204,819.5604,Positive
796.99634,800.2198,793.36993,814.3223,Positive
793.36993,804.2491,795.38464,791.3553,Positive
805.8608,799.41394,799.81683,781.685,Positive
800.6227,804.65204,804.65204,805.05493,Positive
823.1868,796.99634,793.7729,816.7399,Positive
793.7729,800.2198,800.6227,794.17584,Positive
797.8022,794.17584,795.78754,795.38464,Positive
795.38464,791.75824,802.6374,809.4872,Positive
780.07324,799.81683,799.41394,789.7436,Positive
823.9927,802.6374,797.8022,823.1868,Positive
811.50183,792.96704,789.7436,817.5458,Positive
840.10986,809.4872,807.8755,848.97437,Positive
790.54944,813.91943,797.8022,774.0293,Positive
775.64105,794.57874,826.4103,840.5128,Positive
819.5604,770.0,794.57874,813.1135,Positive
827.2161,819.5604,800.2198,817.5458,Positive
791.75824,801.8315,804.65204,800.6227,Positive
794.17584,794.17584,799.81683,806.6667,Positive
792.96704,801.02563,809.4872,813.1135,Positive
811.50183,807.0696,803.0403,810.696,Positive
821.1722,814.3223,799.41394,813.1135,Positive
819.5604,774.43225,804.2491,829.6337,Positive
792.96704,801.8315,800.2198,775.2381,Positive
811.9048,795.78754,792.96704,822.381,Positive
816.7399,813.1135,794.17584,817.1429,Positive
832.8571,807.0696,803.8461,829.6337,Positive
836.08057,810.293,813.1135,831.2454,Positive
841.7216,798.60803,805.8608,834.87177,Positive
800.2198,795.78754,799.41394,794.57874,Positive
816.7399,799.011,809.0842,805.05493,Positive
825.6044,796.1905,805.05493,822.381,Positive
856.63007,800.2198,807.0696,861.06226,Positive
815.9341,822.381,789.34064,817.5458,Positive
803.44324,798.60803,818.7546,810.293,Positive
799.41394,799.41394,806.26373,815.9341,Positive
842.1245,816.337,788.93774,818.3516,Positive
833.663,781.685,803.44324,852.1978,Positive
789.7436,797.8022,801.8315,813.1135,Positive
792.1612,795.78754,803.44324,811.0989,Positive
832.8571,808.68134,813.91943,846.55676,Positive
771.2088,811.0989,796.5934,781.685,Positive
832.8571,802.23444,805.05493,836.4835,Positive
826.0073,807.0696,790.9524,819.15753,Positive
841.7216,808.2784,803.0403,824.3956,Positive
836.8865,798.20514,800.6227,846.1539,Positive
810.696,797.8022,811.9048,815.5311,Positive
643.0769,792.1612,817.1429,653.1502,Positive
778.86444,797.3993,798.20514,789.34064,Positive
840.5128,796.5934,807.8755,834.0659,Positive
811.9048,815.12823,793.7729,807.47253,Positive
799.011,793.36993,801.02563,808.68134,Positive
849.3773,812.71063,813.91943,854.21246,Positive
796.5934,805.8608,808.68134,785.7143,Positive
820.3663,802.6374,799.41394,822.7839,Positive
842.9304,797.8022,815.12823,848.1685,Positive
784.10254,796.1905,811.0989,794.57874,Positive
829.6337,793.7729,809.89014,819.15753,Positive
811.50183,812.3077,802.6374,819.5604,Positive
828.8278,801.02563,800.6227,830.4396,Positive
